id,answer
cat_0002fafb_0.png,cat
cat_0002fafb_1.png,cat
cat_003ffe78_0.png,cat
cat_0042bba4_0.png,cat
cat_0042bba4_1.png,cat
cat_0064054f_0.png,cat
cat_0064054f_1.png,cat
cat_007ed34b_0.png,cat
cat_0145395b_0.png,cat
cat_01b8c043_0.png,cat
cat_01b8c043_1.png,cat
cat_0201d970_0.png,cat
cat_0205a69e_0.png,cat
cat_022d6c28_0.png,cat
cat_02463bab_0.png,cat
cat_02b2a55e_0.png,cat
cat_02ba6e17_0.png,cat
cat_0380eb6e_0.png,cat
cat_03d38513_0.png,cat
cat_03d38513_1.png,cat
cat_03d38513_2.png,cat
cat_05b2d116_0.png,cat
cat_05c0fa37_0.png,cat
cat_06a06482_0.png,cat
cat_07f968f9_0.png,cat
cat_07f968f9_1.png,cat
cat_07f968f9_2.png,cat
cat_07fb88b1_0.png,cat
cat_0871df35_0.png,cat
cat_0871df35_1.png,cat
cat_0871df35_2.png,cat
cat_08bd2b50_0.png,cat
cat_08f794a6_0.png,cat
cat_091ffc66_0.png,cat
cat_091ffc66_1.png,cat
cat_0931c91f_0.png,cat
cat_09a919d1_0.png,cat
cat_0a0ef1d1_0.png,cat
cat_0a0ef1d1_1.png,cat
cat_0a28542a_0.png,cat
cat_0a5c7a0e_0.png,cat
cat_0ae1258d_0.png,cat
cat_0ae1258d_1.png,cat
cat_0b2cd271_0.png,cat
cat_0b59c7bd_0.png,cat
cat_0b5c385a_0.png,cat
cat_0b5c385a_1.png,cat
cat_0b8e5e5f_0.png,cat
cat_0beb875c_0.png,cat
cat_0beb875c_1.png,cat
cat_0c384fd1_0.png,cat
cat_0c384fd1_1.png,cat
cat_0c41928e_0.png,cat
cat_0c41928e_1.png,cat
cat_0c650f08_0.png,cat
cat_0c79dcaf_0.png,cat
cat_0cb485ad_0.png,cat
cat_0d08100f_0.png,cat
cat_0d89dbb8_0.png,cat
cat_0dbb0dbb_0.png,cat
cat_0dd68ba9_0.png,cat
cat_0e152752_0.png,cat
cat_0ecc2179_0.png,cat
cat_0ecc2179_1.png,cat
cat_0f2f8ed5_0.png,cat
cat_0f34b9c7_0.png,cat
cat_0f34b9c7_1.png,cat
cat_0fbef75d_0.png,cat
cat_0fbef75d_1.png,cat
cat_0fbef75d_2.png,cat
cat_0fc1099e_0.png,cat
cat_0ff78541_0.png,cat
cat_10275938_0.png,cat
cat_10275938_1.png,cat
cat_10275938_2.png,cat
cat_1089bdfb_0.png,cat
cat_10918526_0.png,cat
cat_10a2fe82_0.png,cat
cat_122ed716_0.png,cat
cat_126bd277_0.png,cat
cat_1391143e_0.png,cat
cat_1391143e_1.png,cat
cat_1486c531_0.png,cat
cat_149517b2_0.png,cat
cat_15736afb_0.png,cat
cat_15d8b807_0.png,cat
cat_16112cb3_0.png,cat
cat_163bb9d5_0.png,cat
cat_1647829e_0.png,cat
cat_1647829e_1.png,cat
cat_1659641e_0.png,cat
cat_16f8c10b_0.png,cat
cat_172c6003_0.png,cat
cat_172c6003_1.png,cat
cat_1825ad46_0.png,cat
cat_1825ad46_1.png,cat
cat_18f691cb_0.png,cat
cat_1a285ffa_0.png,cat
cat_1a56f390_0.png,cat
cat_1a9f3ff5_0.png,cat
cat_1a9f3ff5_1.png,cat
cat_1a9f3ff5_2.png,cat
cat_1b0601c1_0.png,cat
cat_1b1d815c_0.png,cat
cat_1b39fc30_0.png,cat
cat_1b41c992_0.png,cat
cat_1c07258d_0.png,cat
cat_1c75f2f6_0.png,cat
cat_1c7b5caa_0.png,cat
cat_1f82e4a4_0.png,cat
cat_1f82e4a4_1.png,cat
cat_1fb4e73d_0.png,cat
cat_1fc8f224_0.png,cat
cat_1fff6c24_0.png,cat
cat_213370a1_0.png,cat
cat_21f031fa_0.png,cat
cat_21f031fa_1.png,cat
cat_22e5d39c_0.png,cat
cat_23b0636d_0.png,cat
cat_23b0636d_1.png,cat
cat_2423f2bf_0.png,cat
cat_24923152_0.png,cat
cat_24cd701d_0.png,cat
cat_24cd701d_1.png,cat
cat_24ce9023_0.png,cat
cat_2593cbfe_0.png,cat
cat_25bc8b8b_0.png,cat
cat_277ffc1a_0.png,cat
cat_2851bd61_0.png,cat
cat_2851bd61_1.png,cat
cat_2851bd61_2.png,cat
cat_2851bd61_3.png,cat
cat_2851bd61_4.png,cat
cat_288fefe3_0.png,cat
cat_288fefe3_1.png,cat
cat_29128b42_0.png,cat
cat_292ebc12_0.png,cat
cat_2937647d_0.png,cat
cat_2937647d_1.png,cat
cat_29a40ca5_0.png,cat
cat_29aa946e_0.png,cat
cat_29aa946e_1.png,cat
cat_2acf2583_0.png,cat
cat_2acf2583_1.png,cat
cat_2afd8285_0.png,cat
cat_2b32fd2c_0.png,cat
cat_2b32fd2c_1.png,cat
cat_2bb666f2_0.png,cat
cat_2bc07213_0.png,cat
cat_2bc07213_1.png,cat
cat_2bc07213_2.png,cat
cat_2bec54c1_0.png,cat
cat_2c72c63b_0.png,cat
cat_2cb64233_0.png,cat
cat_2ccf342a_0.png,cat
cat_2d25d9bd_0.png,cat
cat_2d50a11b_0.png,cat
cat_2d686e13_0.png,cat
cat_2e4f6aa3_0.png,cat
cat_2e9b9eee_0.png,cat
cat_2f5f0522_0.png,cat
cat_2f5f0522_1.png,cat
cat_2fe54bda_0.png,cat
cat_3006241b_0.png,cat
cat_3006241b_1.png,cat
cat_3006241b_2.png,cat
cat_3006241b_3.png,cat
cat_3027ea0f_0.png,cat
cat_3027ea0f_1.png,cat
cat_30dc34bd_0.png,cat
cat_30dc34bd_1.png,cat
cat_30dc34bd_2.png,cat
cat_311af95b_0.png,cat
cat_311af95b_1.png,cat
cat_3161d3cc_0.png,cat
cat_3161d3cc_1.png,cat
cat_3161d3cc_2.png,cat
cat_3161d3cc_3.png,cat
cat_3170054c_0.png,cat
cat_328af8ad_0.png,cat
cat_32c6dfd3_0.png,cat
cat_32c6dfd3_1.png,cat
cat_3358d1c7_0.png,cat
cat_338c9424_0.png,cat
cat_338c9424_1.png,cat
cat_338c9424_2.png,cat
cat_3390755c_0.png,cat
cat_3390755c_1.png,cat
cat_33c933f3_0.png,cat
cat_33d4b353_0.png,cat
cat_33dfa9a1_0.png,cat
cat_3406f89d_0.png,cat
cat_3406f89d_1.png,cat
cat_3518e64b_0.png,cat
cat_3518e64b_1.png,cat
cat_3580c463_0.png,cat
cat_36c208bc_0.png,cat
cat_36d6240d_0.png,cat
cat_36d6240d_1.png,cat
cat_36d6240d_2.png,cat
cat_37015547_0.png,cat
cat_37015547_1.png,cat
cat_373b6acd_0.png,cat
cat_376353ba_0.png,cat
cat_376353ba_1.png,cat
cat_376353ba_2.png,cat
cat_378d6c01_0.png,cat
cat_378d6c01_1.png,cat
cat_37b18b92_0.png,cat
cat_3816a601_0.png,cat
cat_382bc89e_0.png,cat
cat_382bc89e_1.png,cat
cat_38386b75_0.png,cat
cat_38850843_0.png,cat
cat_38850843_1.png,cat
cat_3898ea9d_0.png,cat
cat_3898ea9d_1.png,cat
cat_3898ea9d_2.png,cat
cat_38ac0fa5_0.png,cat
cat_39250626_0.png,cat
cat_39250626_1.png,cat
cat_397a4976_0.png,cat
cat_398f5338_0.png,cat
cat_3a543a18_0.png,cat
cat_3a67dbc3_0.png,cat
cat_3b27ecd2_0.png,cat
cat_3b475b9a_0.png,cat
cat_3b475b9a_1.png,cat
cat_3bb8e656_0.png,cat
cat_3bb8e656_1.png,cat
cat_3bb8e656_2.png,cat
cat_3bb8e656_3.png,cat
cat_3bbc408f_0.png,cat
cat_3bfe3092_0.png,cat
cat_3c9524a1_0.png,cat
cat_3d27a73c_0.png,cat
cat_3d27a73c_1.png,cat
cat_3d538dec_0.png,cat
cat_3d581f77_0.png,cat
cat_3dde90b0_0.png,cat
cat_3e5ec2e9_0.png,cat
cat_3e8c1d05_0.png,cat
cat_3e8e0e1c_0.png,cat
cat_3ecfd970_0.png,cat
cat_3ed40917_0.png,cat
cat_3ed455cc_0.png,cat
cat_3ed455cc_1.png,cat
cat_3f086f98_0.png,cat
cat_3f230ae7_0.png,cat
cat_3f62dfee_0.png,cat
cat_3f62dfee_1.png,cat
cat_3f62dfee_2.png,cat
cat_3f62dfee_3.png,cat
cat_3f94e29f_0.png,cat
